 # xb yb zb ideal background shim total error
# 8       697
# 8       697
 0.30000000E+00 -0.60000000E+00  0.00000000E+00  0.25184598E+01  0.25217299E+01 -0.29242058E-02  0.25188057E+01  0.34588420E-03
 0.36000000E+00 -0.60000000E+00  0.00000000E+00  0.25153868E+01  0.25201934E+01 -0.34791243E-02  0.25167143E+01  0.13274657E-02
 0.42000000E+00 -0.60000000E+00  0.00000000E+00  0.25120340E+01  0.25185170E+01 -0.52749954E-02  0.25132420E+01  0.12079946E-02
 0.48000000E+00 -0.60000000E+00  0.00000000E+00  0.25085098E+01  0.25167549E+01 -0.87124212E-02  0.25080425E+01 -0.46730115E-03
 0.54000000E+00 -0.60000000E+00  0.00000000E+00  0.25049193E+01  0.25149597E+01 -0.11017538E-01  0.25039421E+01 -0.97717762E-03
 0.60000000E+00 -0.60000000E+00  0.00000000E+00  0.25013597E+01  0.25131799E+01 -0.11860026E-01  0.25013198E+01 -0.39876419E-04
 0.66000000E+00 -0.60000000E+00  0.00000000E+00  0.24979160E+01  0.25114580E+01 -0.12683742E-01  0.24987743E+01  0.85824795E-03
-0.66000000E+00 -0.54000000E+00  0.00000000E+00  0.25010106E+01  0.25130053E+01 -0.12152797E-01  0.25008525E+01 -0.15808721E-03
-0.60000000E+00 -0.54000000E+00  0.00000000E+00  0.25049193E+01  0.25149597E+01 -0.11072949E-01  0.25038867E+01 -0.10325891E-02
-0.54000000E+00 -0.54000000E+00  0.00000000E+00  0.25089596E+01  0.25169798E+01 -0.80872995E-02  0.25088925E+01 -0.67069472E-04
-0.48000000E+00 -0.54000000E+00  0.00000000E+00  0.25130349E+01  0.25190174E+01 -0.59717691E-02  0.25130457E+01  0.10790926E-04
-0.42000000E+00 -0.54000000E+00  0.00000000E+00  0.25170350E+01  0.25210175E+01 -0.49396066E-02  0.25160779E+01 -0.95712665E-03
-0.36000000E+00 -0.54000000E+00  0.00000000E+00  0.25208406E+01  0.25229203E+01 -0.28971723E-02  0.25200231E+01 -0.81747234E-03
-0.30000000E+00 -0.54000000E+00  0.00000000E+00  0.25243286E+01  0.25246643E+01 -0.63039818E-03  0.25240339E+01 -0.29467818E-03
-0.24000000E+00 -0.54000000E+00  0.00000000E+00  0.25273789E+01  0.25261894E+01  0.78781324E-03  0.25269773E+01 -0.40162676E-03
-0.18000000E+00 -0.54000000E+00  0.00000000E+00  0.25298812E+01  0.25274406E+01  0.21239838E-02  0.25295646E+01 -0.31659624E-03
-0.12000000E+00 -0.54000000E+00  0.00000000E+00  0.25317414E+01  0.25283707E+01  0.32614087E-02  0.25316321E+01 -0.10928135E-03
-0.60000000E-01 -0.54000000E+00  0.00000000E+00  0.25328876E+01  0.25289438E+01  0.34932216E-02  0.25324370E+01 -0.45058840E-03
 0.00000000E+00 -0.54000000E+00  0.00000000E+00  0.25332748E+01  0.25291374E+01  0.31125721E-02  0.25322500E+01 -0.10248479E-02
 0.60000000E-01 -0.54000000E+00  0.00000000E+00  0.25328876E+01  0.25289438E+01  0.31776878E-02  0.25321215E+01 -0.76612223E-03
 0.12000000E+00 -0.54000000E+00  0.00000000E+00  0.25317414E+01  0.25283707E+01  0.36538327E-02  0.25320245E+01  0.28314271E-03
 0.18000000E+00 -0.54000000E+00  0.00000000E+00  0.25298812E+01  0.25274406E+01  0.31163755E-02  0.25305570E+01  0.67579545E-03
 0.24000000E+00 -0.54000000E+00  0.00000000E+00  0.25273789E+01  0.25261894E+01  0.13440033E-02  0.25275334E+01  0.15456330E-03
 0.30000000E+00 -0.54000000E+00  0.00000000E+00  0.25243286E+01  0.25246643E+01 -0.10560468E-03  0.25245587E+01  0.23011532E-03
 0.36000000E+00 -0.54000000E+00  0.00000000E+00  0.25208406E+01  0.25229203E+01 -0.10031203E-02  0.25219172E+01  0.10765797E-02
 0.42000000E+00 -0.54000000E+00  0.00000000E+00  0.25170350E+01  0.25210175E+01 -0.24203513E-02  0.25185972E+01  0.15621287E-02
 0.48000000E+00 -0.54000000E+00  0.00000000E+00  0.25130349E+01  0.25190174E+01 -0.52979823E-02  0.25137195E+01  0.68457768E-03
 0.54000000E+00 -0.54000000E+00  0.00000000E+00  0.25089596E+01  0.25169798E+01 -0.81409321E-02  0.25088388E+01 -0.12070206E-03
 0.60000000E+00 -0.54000000E+00  0.00000000E+00  0.25049193E+01  0.25149597E+01 -0.10233814E-01  0.25047258E+01 -0.19345404E-03
 0.66000000E+00 -0.54000000E+00  0.00000000E+00  0.25010106E+01  0.25130053E+01 -0.12818413E-01  0.25001869E+01 -0.82370296E-03
-0.72000000E+00 -0.48000000E+00  0.00000000E+00  0.24999907E+01  0.25124954E+01 -0.11881893E-01  0.25006135E+01  0.62276741E-03
-0.66000000E+00 -0.48000000E+00  0.00000000E+00  0.25041320E+01  0.25145660E+01 -0.11759069E-01  0.25028069E+01 -0.13250688E-02
-0.60000000E+00 -0.48000000E+00  0.00000000E+00  0.25085098E+01  0.25167549E+01 -0.88527042E-02  0.25079022E+01 -0.60758418E-03
-0.54000000E+00 -0.48000000E+00  0.00000000E+00  0.25130349E+01  0.25190174E+01 -0.52544870E-02  0.25137630E+01  0.72807300E-03
-0.48000000E+00 -0.48000000E+00  0.00000000E+00  0.25175993E+01  0.25212996E+01 -0.36899634E-02  0.25176097E+01  0.10406586E-04
-0.42000000E+00 -0.48000000E+00  0.00000000E+00  0.25220795E+01  0.25235397E+01 -0.21095981E-02  0.25214301E+01 -0.64932805E-03
-0.36000000E+00 -0.48000000E+00  0.00000000E+00  0.25263417E+01  0.25256709E+01  0.57584044E-03  0.25262467E+01 -0.95009558E-04
-0.30000000E+00 -0.48000000E+00  0.00000000E+00  0.25302483E+01  0.25276241E+01  0.27639350E-02  0.25303881E+01  0.13980499E-03
-0.24000000E+00 -0.48000000E+00  0.00000000E+00  0.25336646E+01  0.25293323E+01  0.41509664E-02  0.25334833E+01 -0.18134363E-03
-0.18000000E+00 -0.48000000E+00  0.00000000E+00  0.25364672E+01  0.25307336E+01  0.57817014E-02  0.25365153E+01  0.48101444E-04
-0.12000000E+00 -0.48000000E+00  0.00000000E+00  0.25385506E+01  0.25317753E+01  0.71616747E-02  0.25389370E+01  0.38635473E-03
-0.60000000E-01 -0.48000000E+00  0.00000000E+00  0.25398344E+01  0.25324172E+01  0.76426910E-02  0.25400599E+01  0.22548104E-03
 0.00000000E+00 -0.48000000E+00  0.00000000E+00  0.25402681E+01  0.25326340E+01  0.75700173E-02  0.25402041E+01 -0.64042702E-04
 0.60000000E-01 -0.48000000E+00  0.00000000E+00  0.25398344E+01  0.25324172E+01  0.75641054E-02  0.25399813E+01  0.14689538E-03
 0.12000000E+00 -0.48000000E+00  0.00000000E+00  0.25385506E+01  0.25317753E+01  0.73813405E-02  0.25391567E+01  0.60602048E-03
 0.18000000E+00 -0.48000000E+00  0.00000000E+00  0.25364672E+01  0.25307336E+01  0.60685603E-02  0.25368022E+01  0.33496032E-03
 0.24000000E+00 -0.48000000E+00  0.00000000E+00  0.25336646E+01  0.25293323E+01  0.35276984E-02  0.25328600E+01 -0.80461159E-03
 0.30000000E+00 -0.48000000E+00  0.00000000E+00  0.25302483E+01  0.25276241E+01  0.12815292E-02  0.25289057E+01 -0.13426008E-02
 0.36000000E+00 -0.48000000E+00  0.00000000E+00  0.25263417E+01  0.25256709E+01 -0.44531672E-04  0.25256263E+01 -0.71538167E-03
 0.42000000E+00 -0.48000000E+00  0.00000000E+00  0.25220795E+01  0.25235397E+01 -0.12686240E-02  0.25222711E+01  0.19164603E-03
 0.48000000E+00 -0.48000000E+00  0.00000000E+00  0.25175993E+01  0.25212996E+01 -0.36470564E-02  0.25176526E+01  0.53313625E-04
 0.54000000E+00 -0.48000000E+00  0.00000000E+00  0.25130349E+01  0.25190174E+01 -0.60532701E-02  0.25129642E+01 -0.70710149E-04
 0.60000000E+00 -0.48000000E+00  0.00000000E+00  0.25085098E+01  0.25167549E+01 -0.75301244E-02  0.25092248E+01  0.71499562E-03
 0.66000000E+00 -0.48000000E+00  0.00000000E+00  0.25041320E+01  0.25145660E+01 -0.10357038E-01  0.25042090E+01  0.76961677E-04
 0.72000000E+00 -0.48000000E+00  0.00000000E+00  0.24999907E+01  0.25124954E+01 -0.12232612E-01  0.25002627E+01  0.27204808E-03
-0.78000000E+00 -0.42000000E+00  0.00000000E+00  0.24983790E+01  0.25116895E+01 -0.11474727E-01  0.25002148E+01  0.18357828E-02
-0.72000000E+00 -0.42000000E+00  0.00000000E+00  0.25026190E+01  0.25138095E+01 -0.11389783E-01  0.25024197E+01 -0.19928257E-03
-0.66000000E+00 -0.42000000E+00  0.00000000E+00  0.25071958E+01  0.25160979E+01 -0.97423857E-02  0.25063555E+01 -0.84030572E-03
-0.60000000E+00 -0.42000000E+00  0.00000000E+00  0.25120340E+01  0.25185170E+01 -0.53624070E-02  0.25131546E+01  0.11205830E-02
-0.54000000E+00 -0.42000000E+00  0.00000000E+00  0.25170350E+01  0.25210175E+01 -0.21483866E-02  0.25188691E+01  0.18340934E-02
-0.48000000E+00 -0.42000000E+00  0.00000000E+00  0.25220795E+01  0.25235397E+01 -0.89026047E-03  0.25226495E+01  0.57000953E-03
-0.42000000E+00 -0.42000000E+00  0.00000000E+00  0.25270309E+01  0.25260154E+01  0.10058522E-02  0.25270213E+01 -0.95677610E-05
-0.36000000E+00 -0.42000000E+00  0.00000000E+00  0.25317414E+01  0.25283707E+01  0.40441412E-02  0.25324148E+01  0.67345115E-03
-0.30000000E+00 -0.42000000E+00  0.00000000E+00  0.25360588E+01  0.25305294E+01  0.61982258E-02  0.25367276E+01  0.66884581E-03
-0.24000000E+00 -0.42000000E+00  0.00000000E+00  0.25398344E+01  0.25324172E+01  0.73929356E-02  0.25398102E+01 -0.24274367E-04
-0.18000000E+00 -0.42000000E+00  0.00000000E+00  0.25429318E+01  0.25339659E+01  0.89493550E-02  0.25429152E+01 -0.16525049E-04
-0.12000000E+00 -0.42000000E+00  0.00000000E+00  0.25452343E+01  0.25351172E+01  0.10454120E-01  0.25455713E+01  0.33697008E-03
-0.60000000E-01 -0.42000000E+00  0.00000000E+00  0.25466531E+01  0.25358266E+01  0.11196573E-01  0.25470231E+01  0.37001269E-03
 0.00000000E+00 -0.42000000E+00  0.00000000E+00  0.25471324E+01  0.25360662E+01  0.11296449E-01  0.25473627E+01  0.23024896E-03
 0.60000000E-01 -0.42000000E+00  0.00000000E+00  0.25466531E+01  0.25358266E+01  0.11088192E-01  0.25469148E+01  0.26163203E-03
 0.12000000E+00 -0.42000000E+00  0.00000000E+00  0.25452343E+01  0.25351172E+01  0.10513166E-01  0.25456303E+01  0.39601572E-03
 0.18000000E+00 -0.42000000E+00  0.00000000E+00  0.25429318E+01  0.25339659E+01  0.89930352E-02  0.25429589E+01  0.27155201E-04
 0.24000000E+00 -0.42000000E+00  0.00000000E+00  0.25398344E+01  0.25324172E+01  0.63815883E-02  0.25387988E+01 -0.10356217E-02
 0.30000000E+00 -0.42000000E+00  0.00000000E+00  0.25360588E+01  0.25305294E+01  0.39885592E-02  0.25345179E+01 -0.15408208E-02
 0.36000000E+00 -0.42000000E+00  0.00000000E+00  0.25317414E+01  0.25283707E+01  0.25490870E-02  0.25309198E+01 -0.82160297E-03
 0.42000000E+00 -0.42000000E+00  0.00000000E+00  0.25270309E+01  0.25260154E+01  0.11341455E-02  0.25271496E+01  0.11872551E-03
 0.48000000E+00 -0.42000000E+00  0.00000000E+00  0.25220795E+01  0.25235397E+01 -0.16013206E-02  0.25219384E+01 -0.14105056E-03
 0.54000000E+00 -0.42000000E+00  0.00000000E+00  0.25170350E+01  0.25210175E+01 -0.46609319E-02  0.25163566E+01 -0.67845188E-03
 0.60000000E+00 -0.42000000E+00  0.00000000E+00  0.25120340E+01  0.25185170E+01 -0.62431700E-02  0.25122738E+01  0.23981997E-03
 0.66000000E+00 -0.42000000E+00  0.00000000E+00  0.25071958E+01  0.25160979E+01 -0.87394413E-02  0.25073585E+01  0.16263871E-03
 0.72000000E+00 -0.42000000E+00  0.00000000E+00  0.25026190E+01  0.25138095E+01 -0.11172906E-01  0.25026366E+01  0.17594353E-04
 0.78000000E+00 -0.42000000E+00  0.00000000E+00  0.24983790E+01  0.25116895E+01 -0.11503150E-01  0.25001863E+01  0.18073601E-02
-0.78000000E+00 -0.36000000E+00  0.00000000E+00  0.25004955E+01  0.25127478E+01 -0.12288277E-01  0.25004595E+01 -0.36047260E-04
-0.72000000E+00 -0.36000000E+00  0.00000000E+00  0.25051194E+01  0.25150597E+01 -0.10569925E-01  0.25044898E+01 -0.62963536E-03
-0.66000000E+00 -0.36000000E+00  0.00000000E+00  0.25101106E+01  0.25175553E+01 -0.75301043E-02  0.25100252E+01 -0.85414298E-04
-0.60000000E+00 -0.36000000E+00  0.00000000E+00  0.25153868E+01  0.25201934E+01 -0.34414225E-02  0.25167520E+01  0.13651675E-02
-0.54000000E+00 -0.36000000E+00  0.00000000E+00  0.25208406E+01  0.25229203E+01 -0.77326017E-03  0.25221470E+01  0.13064398E-02
-0.48000000E+00 -0.36000000E+00  0.00000000E+00  0.25263417E+01  0.25256709E+01  0.43152231E-03  0.25261024E+01 -0.23932769E-03
-0.42000000E+00 -0.36000000E+00  0.00000000E+00  0.25317414E+01  0.25283707E+01  0.26275281E-02  0.25309982E+01 -0.74316191E-03
-0.36000000E+00 -0.36000000E+00  0.00000000E+00  0.25368783E+01  0.25309392E+01  0.61896803E-02  0.25371289E+01  0.25051033E-03
-0.30000000E+00 -0.36000000E+00  0.00000000E+00  0.25415866E+01  0.25332933E+01  0.88835414E-02  0.25421769E+01  0.59024144E-03
-0.24000000E+00 -0.36000000E+00  0.00000000E+00  0.25457041E+01  0.25353521E+01  0.10439578E-01  0.25457916E+01  0.87528338E-04
-0.18000000E+00 -0.36000000E+00  0.00000000E+00  0.25490818E+01  0.25370409E+01  0.12004719E-01  0.25490456E+01 -0.36191319E-04
-0.12000000E+00 -0.36000000E+00  0.00000000E+00  0.25515928E+01  0.25382964E+01  0.13365377E-01  0.25516618E+01  0.68966851E-04
-0.60000000E-01 -0.36000000E+00  0.00000000E+00  0.25531401E+01  0.25390701E+01  0.13979362E-01  0.25530494E+01 -0.90688479E-04
 0.00000000E+00 -0.36000000E+00  0.00000000E+00  0.25536628E+01  0.25393314E+01  0.14024249E-01  0.25533556E+01 -0.30715137E-03
 0.60000000E-01 -0.36000000E+00  0.00000000E+00  0.25531401E+01  0.25390701E+01  0.13859935E-01  0.25529300E+01 -0.21011511E-03
 0.12000000E+00 -0.36000000E+00  0.00000000E+00  0.25515928E+01  0.25382964E+01  0.13430419E-01  0.25517268E+01  0.13400877E-03
 0.18000000E+00 -0.36000000E+00  0.00000000E+00  0.25490818E+01  0.25370409E+01  0.12209466E-01  0.25492504E+01  0.16855576E-03
 0.24000000E+00 -0.36000000E+00  0.00000000E+00  0.25457041E+01  0.25353521E+01  0.10170176E-01  0.25455222E+01 -0.18187417E-03
 0.30000000E+00 -0.36000000E+00  0.00000000E+00  0.25415866E+01  0.25332933E+01  0.83004069E-02  0.25415937E+01  0.71068644E-05
 0.36000000E+00 -0.36000000E+00  0.00000000E+00  0.25368783E+01  0.25309392E+01  0.67515663E-02  0.25376907E+01  0.81239627E-03
 0.42000000E+00 -0.36000000E+00  0.00000000E+00  0.25317414E+01  0.25283707E+01  0.44404673E-02  0.25328111E+01  0.10697773E-02
 0.48000000E+00 -0.36000000E+00  0.00000000E+00  0.25263417E+01  0.25256709E+01  0.76736028E-03  0.25264382E+01  0.96510284E-04
 0.54000000E+00 -0.36000000E+00  0.00000000E+00  0.25208406E+01  0.25229203E+01 -0.27386815E-02  0.25201816E+01 -0.65898150E-03
